Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
OPPO OPPO F21 Pro,OPPO,OPPO F21 Pro,8GB,2TB,Glowing Green,6.7,4509mAh,151MP,33W,27000,24060,10.89,"build quality is disappointing. Highly recommended Superb performance! Makes everything better. A perfect balance of performance and quality. It could be better Exceeds expectations! battery life is fantastic. Amazing display. Not worth the price build quality is disappointing. Not worth the price The battery life is below par. Definitely not worth it. Amazing camera. It could be better Not bad, but display could use some refinement. I love it Mediocre build quality. Could have been better.",FALSE
Realme Realme Narzo 50,Realme,Realme Narzo 50,6GB,128GB,Sunrise Gold,6.4,4400mAh,87MP,45W,36000,32170,10.64,"Satisfactory battery life, but nothing extraordinary. Exceeds expectations! camera is fantastic. Highly impressed with the display. Great job! A perfect balance of performance and quality. I love it Not satisfied with the performance. I love it Major flaws with the camera. Needs urgent improvement. Not satisfied with the camera. Not worth the price camera doesn't meet the standards. I love it Phenomenal performance! camera is flawless. Exceptional performance. Definitely worth the price.",FALSE
Samsung Galaxy S24+,Samsung,Galaxy S24+,8GB,128GB,Titanium Violet,6.5,4000mAh,139MP,100W,171000,149310,12.68,"Very poor performance. Would not recommend. Amazing camera. Not worth the price Mediocre camera. Could have been better. performance doesn't meet the standards. I love it Decent performance for the price. performance is fine. Really impressed with the performance. Not impressed A balanced experience overall, but display lacks wow factor. Meets expectations, but performance is unremarkable. performance doesn't meet the standards. Highly recommended Amazing performance. I love it",TRUE
Google Pixel 7,Google,Pixel 7,8GB,1TB,Obsidian,6.7,5055mAh,106MP,33W,35000,32520,7.09,battery life is disappointing. It could be better build quality is disappointing. Highly recommended Exceptional performance. Definitely worth the price. Exceeds expectations! performance is fantastic. build quality is disappointing. I love it Superb display! Makes everything better. Mediocre battery life. Could have been better. Superb performance! Makes everything better. Major flaws with the performance. Needs urgent improvement. Worth every penny! camera is top-notch,TRUE
Asus ROG Phone 6,Asus,ROG Phone 6,12GB,2TB,Midnight Black,6.8,4331mAh,81MP,33W,27000,24370,9.74,"performance could use a lot of improvement. It could be better Unacceptable display. It ruins the overall experience. A balanced experience overall, but battery life lacks wow factor. Very poor build quality. Would not recommend. Not satisfied with the display. Not impressed Good value for money, but build quality is average. Superb battery life! Makes everything better. display is okay. I love it A balanced experience overall, but camera lacks wow factor. performance doesn't meet the standards. Not worth the price",FALSE
Samsung Galaxy A54 5G,Samsung,Galaxy A54 5G,16GB,256GB,Titanium Yellow,6.3,4828mAh,111MP,25W,86000,73870,14.1,"Not bad, but performance could use some refinement. I love it The build quality is frustrating to deal with. It could be better The display is neither here nor there. Highly recommended Exceptional display. Definitely worth the price. Worth every penny! build quality is top-notch Decent performance for the price. camera is fine. A balanced experience overall, but build quality lacks wow factor. performance doesn't meet the standards. Not worth the price The performance is neither here nor there. Highly recommended Really impressed with the display. Highly recommended",TRUE
Xiaomi 14,Xiaomi,14,6GB,2TB,Black,6.4,5224mAh,186MP,25W,46000,39110,14.98,"Unacceptable performance. It ruins the overall experience. The battery life is below par. Definitely not worth it. Worth every penny! performance is top-notch camera is disappointing. Not impressed A balanced experience overall, but camera lacks wow factor. Superb display! Makes everything better. Worth every penny! build quality is top-notch Good value for money, but battery life is average. Mediocre performance. Could have been better. Amazing display. Highly recommended",FALSE
Huawei Nova 10,Huawei,Nova 10,12GB,1TB,Silver Frost,6.2,5099mAh,137MP,25W,17000,15070,11.35,"Highly impressed with the display. Great job! Satisfactory performance, but nothing extraordinary. Highly impressed with the camera. Great job! Phenomenal performance! battery life is flawless. A balanced experience overall, but display lacks wow factor. battery life could use a lot of improvement. Not worth the price A balanced experience overall, but battery life lacks wow factor. Superb camera! Makes everything better. Superb battery life! Makes everything better. Really impressed with the performance. I love it",TRUE
OPPO OPPO F21 Pro,OPPO,OPPO F21 Pro,16GB,512GB,Starlit Black,6.4,5363mAh,111MP,25W,34000,29390,13.56,Fair performance for the price. build quality is acceptable. The display is frustrating to deal with. I love it The performance is frustrating to deal with. It could be better camera is okay. Not impressed Fair performance for the price. battery life is acceptable. camera could use a lot of improvement. Highly recommended Worth every penny! build quality is top-notch Worth every penny! camera is top-notch A perfect balance of camera and quality. Highly recommended The display is below par. Definitely not worth it.,FALSE
Motorola Moto G60,Motorola,Moto G60,6GB,512GB,Magenta,6.9,4256mAh,61MP,100W,26000,22530,13.35,Superb performance! Makes everything better. Worth every penny! build quality is top-notch The display is frustrating to deal with. It could be better performance doesn't meet the standards. Highly recommended Not satisfied with the display. I love it The display is neither here nor there. It could be better Highly impressed with the build quality. Great job! Amazing display. Highly recommended A perfect balance of performance and quality. Not worth the price display could use a lot of improvement. It could be better,FALSE
Sony Xperia 10 V,Sony,Xperia 10 V,16GB,512GB,Frosted Black,6.6,5250mAh,107MP,100W,22000,20130,8.5,"A perfect balance of build quality and quality. Not impressed Phenomenal performance! build quality is flawless. display is okay. It could be better Highly impressed with the camera. Great job! performance is disappointing. It could be better A perfect balance of build quality and quality. I love it Not satisfied with the battery life. Not impressed Phenomenal performance! camera is flawless. Amazing battery life. Not impressed Not bad, but display could use some refinement. Not worth the price",FALSE
Vivo V29 Pro,Vivo,V29 Pro,16GB,256GB,Space Black,6.7,5459mAh,78MP,100W,22000,19510,11.32,"Decent performance for the price. camera is fine. Major flaws with the display. Needs urgent improvement. The performance is neither here nor there. Highly recommended Satisfactory build quality, but nothing extraordinary. Superb build quality! Makes everything better. The build quality is below par. Definitely not worth it. Major flaws with the display. Needs urgent improvement. Not satisfied with the display. Highly recommended battery life could use a lot of improvement. Not worth the price The camera is frustrating to deal with. Not worth the price",FALSE
Apple iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,16GB,1TB,Black Titanium,6.6,4735mAh,93MP,33W,99000,82340,16.83,"The display is neither here nor there. Not impressed The build quality is neither here nor there. Highly recommended Fair performance for the price. camera is acceptable. Good value for money, but display is average. A balanced experience overall, but battery life lacks wow factor. camera could use a lot of improvement. I love it Not satisfied with the battery life. Highly recommended Not satisfied with the build quality. It could be better Unacceptable build quality. It ruins the overall experience. build quality could use a lot of improvement. Not impressed",FALSE
Samsung Galaxy Z Fold 5,Samsung,Galaxy Z Fold 5,16GB,1TB,Titanium Violet,6.1,5492mAh,75MP,65W,118000,101000,14.41,Really impressed with the display. It could be better Unacceptable build quality. It ruins the overall experience. Very poor display. Would not recommend. performance doesn't meet the standards. Highly recommended Decent performance for the price. display is fine. Fair performance for the price. performance is acceptable. build quality is okay. Not impressed Not satisfied with the battery life. Highly recommended Highly impressed with the camera. Great job! Not satisfied with the display. Highly recommended,TRUE
Asus Zenfone 10,Asus,Zenfone 10,16GB,256GB,Indigo,6.8,4008mAh,160MP,25W,22000,19970,9.23,"Superb performance! Makes everything better. The performance is frustrating to deal with. Highly recommended The performance is frustrating to deal with. Highly recommended The performance is below par. Definitely not worth it. Meets expectations, but build quality is unremarkable. Really impressed with the build quality. Highly recommended build quality is okay. It could be better Satisfactory performance, but nothing extraordinary. Not satisfied with the camera. Not impressed Really impressed with the display. I love it",TRUE
Nothing Phone (1) Lite,Nothing,Phone (1) Lite,12GB,256GB,Dark Grey,6.8,5470mAh,155MP,80W,36000,31480,12.56,"Not satisfied with the build quality. Highly recommended Major flaws with the build quality. Needs urgent improvement. The build quality is below par. Definitely not worth it. Worth every penny! build quality is top-notch Exceeds expectations! battery life is fantastic. display doesn't meet the standards. I love it display doesn't meet the standards. Not worth the price Phenomenal performance! battery life is flawless. Exceeds expectations! display is fantastic. Good value for money, but battery life is average.",TRUE
Google Pixel 5a,Google,Pixel 5a,12GB,2TB,Kinda Coral,6.7,4081mAh,153MP,65W,61000,52070,14.64,"Terrible battery life! Extremely dissatisfied. camera could use a lot of improvement. I love it Meets expectations, but performance is unremarkable. Satisfactory display, but nothing extraordinary. Highly impressed with the performance. Great job! Amazing performance. It could be better Phenomenal performance! camera is flawless. The build quality is neither here nor there. It could be better A perfect balance of build quality and quality. I love it build quality is disappointing. It could be better",TRUE
Apple iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,12GB,2TB,Natural Titanium,6.6,4707mAh,137MP,80W,74000,65930,10.91,"Decent performance for the price. camera is fine. The camera is frustrating to deal with. Not worth the price Unacceptable battery life. It ruins the overall experience. Phenomenal performance! display is flawless. Decent performance for the price. performance is fine. Phenomenal performance! camera is flawless. Absolutely love the display. Highly recommend! Satisfactory build quality, but nothing extraordinary. Amazing camera. Not impressed display could use a lot of improvement. Highly recommended",TRUE
LG G8X ThinQ,LG,G8X ThinQ,8GB,512GB,Cloud White,6.2,4273mAh,114MP,33W,31000,26530,14.42,"Amazing battery life. Highly recommended The camera is neither here nor there. It could be better Highly impressed with the build quality. Great job! Very poor camera. Would not recommend. Terrible battery life! Extremely dissatisfied. display is disappointing. Not worth the price Exceptional display. Definitely worth the price. Good value for money, but battery life is average. Amazing performance. Not worth the price Exceptional camera. Definitely worth the price.",TRUE
Huawei P50 Pro,Huawei,P50 Pro,12GB,2TB,Silver Frost,6.9,4734mAh,112MP,80W,33000,27630,16.27,"Not satisfied with the display. Not worth the price Very poor performance. Would not recommend. Highly impressed with the performance. Great job! Good value for money, but battery life is average. Exceptional performance. Definitely worth the price. Phenomenal performance! battery life is flawless. Exceptional battery life. Definitely worth the price. Not satisfied with the performance. I love it Meets expectations, but camera is unremarkable. Absolutely love the camera. Highly recommend!",TRUE
OnePlus Nord 3,OnePlus,Nord 3,16GB,1TB,Morning Mist,6.6,5428mAh,146MP,65W,70000,63900,8.71,"A balanced experience overall, but build quality lacks wow factor. Terrible display! Extremely dissatisfied. Amazing build quality. Not worth the price Highly impressed with the display. Great job! Meets expectations, but battery life is unremarkable. Decent performance for the price. display is fine. Fair performance for the price. display is acceptable. Very poor build quality. Would not recommend. Absolutely love the build quality. Highly recommend! Superb performance! Makes everything better.",FALSE
Asus ROG Phone 7,Asus,ROG Phone 7,16GB,128GB,Indigo,6.6,5405mAh,173MP,45W,26000,23050,11.35,"performance is okay. It could be better Very poor camera. Would not recommend. Exceeds expectations! display is fantastic. Really impressed with the battery life. I love it Exceeds expectations! camera is fantastic. Amazing camera. It could be better Phenomenal performance! camera is flawless. Really impressed with the performance. I love it Absolutely love the display. Highly recommend! Good value for money, but build quality is average.",TRUE
Motorola Moto G Power,Motorola,Moto G Power,12GB,256GB,Deep Green,6.6,4029mAh,149MP,65W,18000,16610,7.72,"Major flaws with the display. Needs urgent improvement. A perfect balance of build quality and quality. Not impressed Mediocre build quality. Could have been better. display could use a lot of improvement. I love it Major flaws with the display. Needs urgent improvement. Phenomenal performance! build quality is flawless. Fair performance for the price. display is acceptable. performance doesn't meet the standards. Not impressed Not bad, but display could use some refinement. Highly recommended Terrible build quality! Extremely dissatisfied.",FALSE
OPPO Reno 11 Pro,OPPO,Reno 11 Pro,12GB,1TB,Ocean Blue,6.1,5056mAh,177MP,25W,27000,24580,8.96,"The battery life is below par. Definitely not worth it. Satisfactory performance, but nothing extraordinary. Terrible display! Extremely dissatisfied. Mediocre build quality. Could have been better. Superb display! Makes everything better. Amazing performance. It could be better Decent performance for the price. camera is fine. Major flaws with the display. Needs urgent improvement. Satisfactory build quality, but nothing extraordinary. Really impressed with the battery life. It could be better",TRUE
Apple iPhone 13 Mini,Apple,iPhone 13 Mini,12GB,1TB,White Titanium,6.8,5405mAh,181MP,65W,98000,83890,14.4,Very poor build quality. Would not recommend. Not satisfied with the battery life. Not worth the price A perfect balance of display and quality. It could be better Superb battery life! Makes everything better. display doesn't meet the standards. I love it Major flaws with the camera. Needs urgent improvement. Fair performance for the price. battery life is acceptable. Worth every penny! camera is top-notch The battery life is neither here nor there. I love it Phenomenal performance! camera is flawless.,FALSE
Vivo X100,Vivo,X100,8GB,2TB,Deep Blue,6.7,5331mAh,84MP,100W,23000,21240,7.65,"Meets expectations, but build quality is unremarkable. battery life is okay. Highly recommended display is okay. I love it Satisfactory display, but nothing extraordinary. battery life is disappointing. It could be better Exceptional build quality. Definitely worth the price. Absolutely love the display. Highly recommend! Worth every penny! battery life is top-notch Good value for money, but build quality is average. The camera is frustrating to deal with. I love it",FALSE
OnePlus 12,OnePlus,12,8GB,2TB,Morning Mist,6.1,4552mAh,119MP,80W,44000,38690,12.07,Absolutely love the build quality. Highly recommend! Exceptional camera. Definitely worth the price. build quality is disappointing. Highly recommended build quality is okay. Not worth the price Worth every penny! display is top-notch battery life doesn't meet the standards. Not impressed Unacceptable build quality. It ruins the overall experience. Worth every penny! display is top-notch battery life is okay. Not worth the price Superb battery life! Makes everything better.,FALSE
Samsung Galaxy Z Flip 5,Samsung,Galaxy Z Flip 5,16GB,256GB,Titanium Yellow,6.9,4249mAh,97MP,45W,134000,112940,15.72,"Fair performance for the price. performance is acceptable. Decent performance for the price. build quality is fine. A balanced experience overall, but build quality lacks wow factor. Absolutely love the camera. Highly recommend! Good value for money, but build quality is average. Meets expectations, but camera is unremarkable. Amazing camera. I love it Worth every penny! display is top-notch battery life doesn't meet the standards. Not worth the price Worth every penny! camera is top-notch",TRUE
Asus ROG Phone 6,Asus,ROG Phone 6,8GB,128GB,Moonlight White,6.4,4554mAh,92MP,80W,35000,29600,15.43,"Phenomenal performance! performance is flawless. The display is below par. Definitely not worth it. battery life is okay. Highly recommended A balanced experience overall, but display lacks wow factor. performance is okay. I love it Terrible battery life! Extremely dissatisfied. Phenomenal performance! build quality is flawless. Worth every penny! battery life is top-notch Fair performance for the price. camera is acceptable. Really impressed with the performance. Not worth the price",TRUE
Sony Xperia 1 V,Sony,Xperia 1 V,8GB,1TB,Midnight Blue,6.3,4637mAh,109MP,80W,19000,15980,15.89,"The camera is below par. Definitely not worth it. Fair performance for the price. display is acceptable. build quality is disappointing. I love it display could use a lot of improvement. Not worth the price Meets expectations, but performance is unremarkable. Major flaws with the build quality. Needs urgent improvement. Amazing display. Not worth the price Good value for money, but performance is average. Absolutely love the performance. Highly recommend! build quality is disappointing. Not worth the price",FALSE
OPPO Reno 11,OPPO,Reno 11,16GB,2TB,Glowing Green,6.5,4249mAh,91MP,80W,28000,25450,9.11,"Not satisfied with the camera. It could be better build quality is okay. Not impressed Satisfactory camera, but nothing extraordinary. Not satisfied with the battery life. Highly recommended A balanced experience overall, but camera lacks wow factor. Not satisfied with the display. Not worth the price A perfect balance of build quality and quality. I love it battery life doesn't meet the standards. Highly recommended Satisfactory battery life, but nothing extraordinary. Superb build quality! Makes everything better.",FALSE
Vivo V29,Vivo,V29,8GB,128GB,Deep Blue,6.2,5045mAh,120MP,33W,27000,23840,11.7,"Absolutely love the camera. Highly recommend! Unacceptable camera. It ruins the overall experience. Amazing display. Not worth the price Highly impressed with the build quality. Great job! Satisfactory battery life, but nothing extraordinary. display is disappointing. Highly recommended Terrible build quality! Extremely dissatisfied. Decent performance for the price. build quality is fine. Terrible build quality! Extremely dissatisfied. Highly impressed with the camera. Great job!",TRUE
Nothing Phone (2),Nothing,Phone (2),16GB,2TB,Clear,6.1,5293mAh,66MP,100W,45000,37770,16.07,Decent performance for the price. battery life is fine. A perfect balance of build quality and quality. It could be better The camera is below par. Definitely not worth it. display doesn't meet the standards. Not impressed Very poor performance. Would not recommend. Terrible battery life! Extremely dissatisfied. performance doesn't meet the standards. It could be better Superb build quality! Makes everything better. camera is disappointing. Not impressed performance could use a lot of improvement. I love it,TRUE
Asus Zenfone 9,Asus,Zenfone 9,12GB,512GB,Indigo,6.3,4425mAh,191MP,45W,31000,25980,16.19,"The camera is neither here nor there. Not worth the price Major flaws with the performance. Needs urgent improvement. Decent performance for the price. build quality is fine. Absolutely love the performance. Highly recommend! Absolutely love the display. Highly recommend! battery life doesn't meet the standards. Not impressed Exceptional battery life. Definitely worth the price. Meets expectations, but performance is unremarkable. A balanced experience overall, but display lacks wow factor. Meets expectations, but performance is unremarkable.",TRUE
Vivo Vivo X90 Pro,Vivo,Vivo X90 Pro,6GB,128GB,Deep Blue,6.2,5239mAh,53MP,45W,34000,30480,10.35,Terrible display! Extremely dissatisfied. display is disappointing. Highly recommended Worth every penny! display is top-notch Exceptional build quality. Definitely worth the price. Very poor performance. Would not recommend. Decent performance for the price. performance is fine. Highly impressed with the build quality. Great job! display doesn't meet the standards. Highly recommended Exceeds expectations! camera is fantastic. Very poor build quality. Would not recommend.,FALSE
Motorola Edge 40 Pro,Motorola,Edge 40 Pro,8GB,256GB,Carbon Grey,6.6,5210mAh,147MP,80W,38000,33840,10.95,build quality could use a lot of improvement. Highly recommended display is disappointing. I love it Exceptional build quality. Definitely worth the price. The battery life is neither here nor there. Not impressed Exceeds expectations! build quality is fantastic. The performance is below par. Definitely not worth it. Exceptional display. Definitely worth the price. Amazing camera. Highly recommended Terrible display! Extremely dissatisfied. Exceptional battery life. Definitely worth the price.,TRUE
Samsung Galaxy S24+,Samsung,Galaxy S24+,6GB,512GB,Titanium Gray,6.6,4338mAh,148MP,100W,79000,69760,11.7,"battery life is okay. Not impressed Good value for money, but performance is average. Unacceptable display. It ruins the overall experience. display is okay. I love it Phenomenal performance! performance is flawless. Very poor battery life. Would not recommend. Terrible build quality! Extremely dissatisfied. display is okay. Not worth the price display doesn't meet the standards. I love it Very poor battery life. Would not recommend.",FALSE
Sony Xperia 10 III,Sony,Xperia 10 III,16GB,256GB,Platinum Silver,6.8,5014mAh,62MP,45W,28000,25890,7.54,"Good value for money, but display is average. Highly impressed with the build quality. Great job! Superb battery life! Makes everything better. The build quality is frustrating to deal with. Highly recommended A perfect balance of display and quality. Highly recommended Satisfactory camera, but nothing extraordinary. build quality is disappointing. It could be better The camera is frustrating to deal with. It could be better Exceeds expectations! performance is fantastic. The build quality is frustrating to deal with. It could be better",TRUE
Realme 12 Pro,Realme,12 Pro,12GB,1TB,Submarine Blue,6.1,5347mAh,150MP,45W,39000,35160,9.85,"Highly impressed with the display. Great job! Not satisfied with the display. Not impressed A balanced experience overall, but display lacks wow factor. Exceeds expectations! camera is fantastic. Fair performance for the price. battery life is acceptable. Fair performance for the price. performance is acceptable. Superb display! Makes everything better. Good value for money, but display is average. Exceptional display. Definitely worth the price. Amazing build quality. Not impressed",TRUE
Apple iPhone 13 Mini,Apple,iPhone 13 Mini,6GB,2TB,Black Titanium,6.4,4036mAh,49MP,25W,163000,140610,13.74,"Unacceptable display. It ruins the overall experience. Very poor build quality. Would not recommend. Highly impressed with the performance. Great job! Meets expectations, but battery life is unremarkable. Meets expectations, but battery life is unremarkable. The camera is frustrating to deal with. It could be better Superb battery life! Makes everything better. The camera is neither here nor there. Not worth the price Exceptional battery life. Definitely worth the price. Phenomenal performance! battery life is flawless.",FALSE
OPPO F23,OPPO,F23,12GB,1TB,Ocean Blue,6.4,4726mAh,158MP,65W,25000,22600,9.6,"Decent performance for the price. performance is fine. Phenomenal performance! build quality is flawless. Really impressed with the display. It could be better The camera is below par. Definitely not worth it. Mediocre display. Could have been better. Very poor battery life. Would not recommend. Phenomenal performance! display is flawless. Exceptional performance. Definitely worth the price. Really impressed with the camera. Highly recommended Satisfactory build quality, but nothing extraordinary.",FALSE
Motorola Edge 20,Motorola,Edge 20,8GB,1TB,Magenta,6.2,5169mAh,48MP,65W,31000,26600,14.19,"Terrible display! Extremely dissatisfied. Amazing camera. Highly recommended display is okay. It could be better Very poor camera. Would not recommend. Meets expectations, but battery life is unremarkable. Worth every penny! battery life is top-notch Meets expectations, but camera is unremarkable. Not satisfied with the camera. I love it The camera is frustrating to deal with. Highly recommended build quality is disappointing. Not impressed",FALSE
Nothing Phone (1) Lite,Nothing,Phone (1) Lite,6GB,256GB,Clear,6.9,4940mAh,166MP,25W,46000,40200,12.61,"Meets expectations, but display is unremarkable. Superb camera! Makes everything better. Good value for money, but performance is average. Highly impressed with the build quality. Great job! build quality is okay. Not worth the price Amazing display. Not impressed Unacceptable performance. It ruins the overall experience. Meets expectations, but build quality is unremarkable. Fair performance for the price. battery life is acceptable. The performance is below par. Definitely not worth it.",TRUE
Realme 12 Pro,Realme,12 Pro,12GB,256GB,Sunrise Gold,6.2,4590mAh,121MP,100W,17000,14490,14.76,Absolutely love the battery life. Highly recommend! The camera is neither here nor there. Highly recommended build quality is disappointing. Not impressed display is okay. Not impressed Superb build quality! Makes everything better. The camera is frustrating to deal with. I love it Unacceptable display. It ruins the overall experience. battery life is disappointing. It could be better The display is below par. Definitely not worth it. Unacceptable camera. It ruins the overall experience.,FALSE
Huawei P60 Pro,Huawei,P60 Pro,16GB,256GB,Silver Frost,6.1,4756mAh,112MP,100W,36000,31940,11.28,"build quality is disappointing. It could be better A perfect balance of battery life and quality. Not impressed The performance is frustrating to deal with. Not worth the price Very poor performance. Would not recommend. Amazing build quality. Not impressed Not bad, but build quality could use some refinement. It could be better Satisfactory camera, but nothing extraordinary. performance is disappointing. Not worth the price A balanced experience overall, but display lacks wow factor. Meets expectations, but display is unremarkable.",TRUE
Nothing Phone (1),Nothing,Phone (1),16GB,256GB,White,6.4,5044mAh,141MP,65W,38000,33040,13.05,"Not satisfied with the camera. Highly recommended Decent performance for the price. performance is fine. Really impressed with the display. Highly recommended Decent performance for the price. performance is fine. Really impressed with the display. Highly recommended Amazing performance. Not impressed A balanced experience overall, but display lacks wow factor. Amazing build quality. Not worth the price Very poor performance. Would not recommend. Highly impressed with the display. Great job!",FALSE
Huawei Mate 40,Huawei,Mate 40,16GB,1TB,Golden Black,6.7,4329mAh,195MP,25W,39000,36030,7.62,"camera is okay. Highly recommended Not satisfied with the build quality. Not impressed Very poor build quality. Would not recommend. Not bad, but battery life could use some refinement. Not worth the price Mediocre battery life. Could have been better. Exceeds expectations! build quality is fantastic. Exceptional build quality. Definitely worth the price. Highly impressed with the build quality. Great job! battery life is disappointing. Not worth the price Mediocre display. Could have been better.",TRUE
Huawei P60 Pro,Huawei,P60 Pro,8GB,2TB,Golden Black,6.7,4512mAh,100MP,100W,26000,23550,9.42,"Decent performance for the price. display is fine. Major flaws with the camera. Needs urgent improvement. Worth every penny! battery life is top-notch Meets expectations, but display is unremarkable. Decent performance for the price. performance is fine. Good value for money, but performance is average. A perfect balance of display and quality. I love it The battery life is neither here nor there. Highly recommended Worth every penny! performance is top-notch Mediocre display. Could have been better.",FALSE
