Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
Asus Zenfone 8,Asus,Zenfone 8,6GB,128GB,Midnight Black,6.7,4658mAh,54MP,25W,25000,21410,14.36,"Satisfactory camera, but nothing extraordinary. The battery life is frustrating to deal with. Not worth the price Absolutely love the display. Highly recommend! The camera is frustrating to deal with. Not impressed Really impressed with the battery life. I love it Terrible display! Extremely dissatisfied. Phenomenal performance! camera is flawless. Really impressed with the battery life. Not impressed The display is below par. Definitely not worth it. Superb display! Makes everything better.",TRUE
Apple iPhone 14 Pro Max,Apple,iPhone 14 Pro Max,16GB,256GB,Natural Titanium,6.2,4155mAh,171MP,45W,115000,98320,14.5,Unacceptable performance. It ruins the overall experience. Exceptional display. Definitely worth the price. Mediocre display. Could have been better. A perfect balance of display and quality. It could be better Terrible display! Extremely dissatisfied. Really impressed with the performance. It could be better Absolutely love the build quality. Highly recommend! camera is okay. Not worth the price The build quality is neither here nor there. It could be better Decent performance for the price. performance is fine.,TRUE
OnePlus Nord CE 2 Lite,OnePlus,Nord CE 2 Lite,16GB,512GB,Morning Mist,6.6,4033mAh,88MP,100W,62000,55230,10.92,"Worth every penny! performance is top-notch battery life is okay. Not impressed Fair performance for the price. performance is acceptable. Really impressed with the camera. Highly recommended build quality doesn't meet the standards. Not worth the price performance is okay. It could be better A balanced experience overall, but camera lacks wow factor. display could use a lot of improvement. Not worth the price Exceptional display. Definitely worth the price. Mediocre camera. Could have been better.",TRUE
Vivo V29 Pro,Vivo,V29 Pro,8GB,256GB,Sunrise Gold,6.1,4186mAh,140MP,65W,20000,18040,9.8,"Highly impressed with the performance. Great job! Meets expectations, but battery life is unremarkable. Unacceptable display. It ruins the overall experience. Good value for money, but battery life is average. Not satisfied with the performance. Not worth the price display doesn't meet the standards. Not worth the price Not bad, but battery life could use some refinement. It could be better Fair performance for the price. build quality is acceptable. The battery life is frustrating to deal with. Not worth the price Terrible performance! Extremely dissatisfied.",TRUE
OnePlus 12R,OnePlus,12R,8GB,256GB,Morning Mist,6.6,5163mAh,128MP,25W,65000,55250,15,"Satisfactory display, but nothing extraordinary. Not bad, but display could use some refinement. Not worth the price Worth every penny! battery life is top-notch Worth every penny! camera is top-notch Superb display! Makes everything better. Major flaws with the camera. Needs urgent improvement. A balanced experience overall, but performance lacks wow factor. Superb build quality! Makes everything better. display is disappointing. It could be better camera is disappointing. I love it",TRUE
iQOO Neo 7 Pro,iQOO,Neo 7 Pro,12GB,512GB,Beta,6.6,4757mAh,124MP,45W,16000,14220,11.12,"A balanced experience overall, but build quality lacks wow factor. Absolutely love the battery life. Highly recommend! Exceeds expectations! display is fantastic. A perfect balance of battery life and quality. Highly recommended Major flaws with the build quality. Needs urgent improvement. build quality is okay. Highly recommended Exceeds expectations! camera is fantastic. A balanced experience overall, but display lacks wow factor. Good value for money, but camera is average. Major flaws with the battery life. Needs urgent improvement.",TRUE
iQOO 12,iQOO,12,6GB,2TB,Legend,6.7,5228mAh,79MP,25W,29000,26390,9,Superb build quality! Makes everything better. Exceptional performance. Definitely worth the price. Exceeds expectations! build quality is fantastic. Exceptional camera. Definitely worth the price. Very poor build quality. Would not recommend. Terrible build quality! Extremely dissatisfied. Superb camera! Makes everything better. The battery life is frustrating to deal with. I love it Not satisfied with the battery life. Highly recommended Mediocre performance. Could have been better.,TRUE
OnePlus Nord CE 2 Lite,OnePlus,Nord CE 2 Lite,16GB,256GB,Silky Black,6.9,4813mAh,133MP,100W,63000,58440,7.24,"display doesn't meet the standards. I love it Superb performance! Makes everything better. performance could use a lot of improvement. I love it Exceeds expectations! build quality is fantastic. Good value for money, but build quality is average. battery life could use a lot of improvement. I love it build quality could use a lot of improvement. I love it Highly impressed with the battery life. Great job! Terrible display! Extremely dissatisfied. Exceeds expectations! battery life is fantastic.",TRUE
Huawei P60 Pro,Huawei,P60 Pro,12GB,512GB,Golden Black,6.4,4860mAh,48MP,33W,35000,32820,6.23,"performance could use a lot of improvement. It could be better Good value for money, but build quality is average. Fair performance for the price. battery life is acceptable. Terrible battery life! Extremely dissatisfied. Superb battery life! Makes everything better. Phenomenal performance! camera is flawless. Amazing battery life. I love it Unacceptable build quality. It ruins the overall experience. Terrible camera! Extremely dissatisfied. The battery life is below par. Definitely not worth it.",FALSE
LG V60 ThinQ,LG,V60 ThinQ,16GB,512GB,Aurora Black,6.7,4028mAh,147MP,65W,30000,26970,10.1,"Phenomenal performance! build quality is flawless. Terrible battery life! Extremely dissatisfied. Major flaws with the battery life. Needs urgent improvement. performance doesn't meet the standards. Not impressed The camera is frustrating to deal with. Not worth the price Very poor build quality. Would not recommend. Meets expectations, but build quality is unremarkable. Not satisfied with the battery life. I love it Terrible camera! Extremely dissatisfied. Not bad, but build quality could use some refinement. I love it",FALSE
Motorola Moto Edge+,Motorola,Moto Edge+,12GB,128GB,Nebula Blue,6.5,5231mAh,82MP,33W,19000,16300,14.21,"Exceptional display. Definitely worth the price. Exceeds expectations! performance is fantastic. The build quality is below par. Definitely not worth it. Fair performance for the price. performance is acceptable. Mediocre battery life. Could have been better. Meets expectations, but camera is unremarkable. The battery life is neither here nor there. I love it Good value for money, but performance is average. Unacceptable performance. It ruins the overall experience. Exceptional battery life. Definitely worth the price.",FALSE
Realme 11 Pro+,Realme,11 Pro+,6GB,512GB,Sunrise Gold,6.3,4699mAh,115MP,65W,15000,13680,8.8,"Absolutely love the camera. Highly recommend! Really impressed with the camera. It could be better Worth every penny! camera is top-notch Highly impressed with the performance. Great job! The camera is below par. Definitely not worth it. The build quality is frustrating to deal with. Highly recommended A balanced experience overall, but battery life lacks wow factor. The battery life is neither here nor there. It could be better Worth every penny! build quality is top-notch Unacceptable camera. It ruins the overall experience.",FALSE
Apple iPhone 15 Pro,Apple,iPhone 15 Pro,12GB,1TB,Gold,6.8,5175mAh,162MP,45W,161000,141560,12.07,"build quality is okay. It could be better A balanced experience overall, but camera lacks wow factor. battery life is okay. Not impressed Unacceptable display. It ruins the overall experience. A balanced experience overall, but build quality lacks wow factor. Terrible performance! Extremely dissatisfied. battery life doesn't meet the standards. Not impressed Not satisfied with the build quality. It could be better The performance is neither here nor there. I love it Fair performance for the price. performance is acceptable.",FALSE
Samsung Galaxy S24,Samsung,Galaxy S24,8GB,512GB,Phantom Black,6.6,5343mAh,138MP,45W,166000,154590,6.87,"Not satisfied with the battery life. Highly recommended battery life is disappointing. Not worth the price camera is disappointing. It could be better Highly impressed with the battery life. Great job! Terrible battery life! Extremely dissatisfied. Satisfactory battery life, but nothing extraordinary. Terrible build quality! Extremely dissatisfied. A perfect balance of camera and quality. I love it A perfect balance of display and quality. I love it Highly impressed with the display. Great job!",TRUE
Asus Zenfone 10,Asus,Zenfone 10,6GB,128GB,Sunset Red,6.4,4793mAh,94MP,80W,20000,18700,6.5,"Major flaws with the display. Needs urgent improvement. Amazing camera. I love it Mediocre display. Could have been better. Not bad, but camera could use some refinement. Not impressed Exceptional display. Definitely worth the price. display doesn't meet the standards. Not impressed The display is neither here nor there. It could be better Absolutely love the battery life. Highly recommend! A balanced experience overall, but display lacks wow factor. Superb battery life! Makes everything better.",TRUE
Apple iPhone 15,Apple,iPhone 15,8GB,2TB,Blue Titanium,6.2,5221mAh,54MP,25W,92000,81100,11.85,"Meets expectations, but build quality is unremarkable. Superb camera! Makes everything better. The performance is frustrating to deal with. It could be better Really impressed with the performance. Highly recommended Unacceptable display. It ruins the overall experience. The camera is neither here nor there. Not worth the price performance is okay. Not impressed Exceptional build quality. Definitely worth the price. Mediocre performance. Could have been better. A balanced experience overall, but display lacks wow factor.",FALSE
OnePlus Nord 3,OnePlus,Nord 3,8GB,512GB,Cool Blue,6.5,4394mAh,137MP,33W,49000,44390,9.41,"The display is below par. Definitely not worth it. display is disappointing. Highly recommended display doesn't meet the standards. I love it A balanced experience overall, but performance lacks wow factor. camera could use a lot of improvement. It could be better Really impressed with the build quality. It could be better The camera is frustrating to deal with. It could be better Good value for money, but build quality is average. Mediocre camera. Could have been better. Exceeds expectations! performance is fantastic.",TRUE
Huawei Mate 50 Pro,Huawei,Mate 50 Pro,16GB,512GB,Golden Black,6.2,5251mAh,184MP,25W,36000,31410,12.75,"Phenomenal performance! battery life is flawless. A balanced experience overall, but display lacks wow factor. Unacceptable display. It ruins the overall experience. Fair performance for the price. camera is acceptable. Decent performance for the price. performance is fine. camera is okay. I love it Decent performance for the price. build quality is fine. Satisfactory performance, but nothing extraordinary. display doesn't meet the standards. It could be better Absolutely love the camera. Highly recommend!",FALSE
Huawei Mate 40,Huawei,Mate 40,16GB,1TB,Golden Black,6.3,4596mAh,91MP,45W,23000,21830,5.09,"Amazing camera. Not worth the price battery life is okay. Not worth the price battery life could use a lot of improvement. Highly recommended camera doesn't meet the standards. Highly recommended The battery life is frustrating to deal with. Highly recommended build quality doesn't meet the standards. I love it Major flaws with the camera. Needs urgent improvement. display could use a lot of improvement. Highly recommended Not bad, but battery life could use some refinement. Highly recommended The camera is neither here nor there. It could be better",TRUE
OPPO Reno 11,OPPO,Reno 11,8GB,2TB,Glowing Green,6.6,4005mAh,125MP,80W,39000,33950,12.95,"A balanced experience overall, but battery life lacks wow factor. Good value for money, but performance is average. build quality could use a lot of improvement. I love it A balanced experience overall, but build quality lacks wow factor. Meets expectations, but build quality is unremarkable. Worth every penny! display is top-notch Terrible display! Extremely dissatisfied. Exceptional performance. Definitely worth the price. Exceeds expectations! build quality is fantastic. Worth every penny! performance is top-notch",FALSE
OPPO OPPO F21 Pro,OPPO,OPPO F21 Pro,12GB,256GB,Ocean Blue,6.3,4306mAh,83MP,33W,24000,21050,12.29,"The build quality is below par. Definitely not worth it. Worth every penny! build quality is top-notch Worth every penny! camera is top-notch Very poor battery life. Would not recommend. Exceeds expectations! camera is fantastic. Not bad, but battery life could use some refinement. It could be better Major flaws with the display. Needs urgent improvement. The battery life is neither here nor there. It could be better The display is neither here nor there. It could be better A balanced experience overall, but display lacks wow factor.",TRUE
Huawei P60 Pro,Huawei,P60 Pro,12GB,128GB,Silver Frost,6.2,4257mAh,145MP,45W,33000,30560,7.39,"Not satisfied with the camera. I love it Very poor build quality. Would not recommend. Meets expectations, but battery life is unremarkable. Very poor display. Would not recommend. Unacceptable camera. It ruins the overall experience. display doesn't meet the standards. Highly recommended build quality is disappointing. It could be better Fair performance for the price. camera is acceptable. The performance is below par. Definitely not worth it. Mediocre battery life. Could have been better.",TRUE
OnePlus OnePlus 11R,OnePlus,OnePlus 11R,6GB,1TB,Flowy Emerald,6.5,4201mAh,173MP,33W,52000,45530,12.44,"Major flaws with the camera. Needs urgent improvement. display is disappointing. Highly recommended Not bad, but build quality could use some refinement. Not worth the price Absolutely love the display. Highly recommend! Satisfactory build quality, but nothing extraordinary. display is disappointing. Not worth the price Amazing build quality. Not worth the price display doesn't meet the standards. Not impressed Major flaws with the performance. Needs urgent improvement. Satisfactory performance, but nothing extraordinary.",TRUE
Samsung Galaxy A34 5G,Samsung,Galaxy A34 5G,12GB,2TB,Titanium Yellow,6.4,4895mAh,157MP,100W,137000,119780,12.57,"Highly impressed with the camera. Great job! build quality is okay. Not worth the price Not satisfied with the performance. I love it A balanced experience overall, but build quality lacks wow factor. The display is frustrating to deal with. Not impressed Superb camera! Makes everything better. Not bad, but display could use some refinement. I love it camera could use a lot of improvement. It could be better The battery life is neither here nor there. It could be better Decent performance for the price. display is fine.",TRUE
OPPO OPPO Find X6 Pro,OPPO,OPPO Find X6 Pro,8GB,512GB,Ocean Blue,6.9,4961mAh,131MP,25W,17000,15060,11.41,Superb camera! Makes everything better. Very poor battery life. Would not recommend. Highly impressed with the display. Great job! Very poor performance. Would not recommend. Terrible battery life! Extremely dissatisfied. battery life could use a lot of improvement. Not impressed performance doesn't meet the standards. It could be better performance doesn't meet the standards. Not impressed Exceeds expectations! battery life is fantastic. A perfect balance of performance and quality. Highly recommended,FALSE
Apple iPhone 15,Apple,iPhone 15,8GB,1TB,White Titanium,6.7,5498mAh,62MP,65W,103000,87720,14.83,"build quality could use a lot of improvement. It could be better Good value for money, but build quality is average. performance could use a lot of improvement. It could be better Exceeds expectations! battery life is fantastic. Unacceptable performance. It ruins the overall experience. Absolutely love the performance. Highly recommend! Terrible performance! Extremely dissatisfied. Superb battery life! Makes everything better. Worth every penny! performance is top-notch Worth every penny! build quality is top-notch",TRUE
Apple iPhone 13 Mini,Apple,iPhone 13 Mini,8GB,1TB,Gold,6.2,5299mAh,142MP,33W,118000,110170,6.64,"battery life doesn't meet the standards. I love it Terrible camera! Extremely dissatisfied. display is okay. I love it Major flaws with the build quality. Needs urgent improvement. camera could use a lot of improvement. Not impressed The performance is below par. Definitely not worth it. A balanced experience overall, but display lacks wow factor. The display is frustrating to deal with. Not worth the price Amazing build quality. Not impressed Terrible display! Extremely dissatisfied.",FALSE
Vivo T2 Pro,Vivo,T2 Pro,12GB,128GB,Space Black,6.4,4924mAh,142MP,80W,33000,30410,7.85,"Worth every penny! camera is top-notch Terrible performance! Extremely dissatisfied. Absolutely love the display. Highly recommend! build quality doesn't meet the standards. I love it Not satisfied with the battery life. Highly recommended Mediocre performance. Could have been better. camera is okay. Highly recommended Unacceptable camera. It ruins the overall experience. Satisfactory battery life, but nothing extraordinary. Very poor performance. Would not recommend.",TRUE
iQOO iQOO Z6,iQOO,iQOO Z6,8GB,256GB,Cyber,6.2,5370mAh,170MP,33W,37000,34070,7.92,Very poor performance. Would not recommend. A perfect balance of camera and quality. Not impressed display doesn't meet the standards. Not impressed Phenomenal performance! camera is flawless. Phenomenal performance! display is flawless. Phenomenal performance! build quality is flawless. Worth every penny! camera is top-notch Mediocre performance. Could have been better. Mediocre battery life. Could have been better. build quality doesn't meet the standards. Highly recommended,TRUE
iQOO iQOO 11,iQOO,iQOO 11,8GB,128GB,Cyber,6.6,4982mAh,116MP,25W,18000,16370,9.06,"Exceptional battery life. Definitely worth the price. Mediocre performance. Could have been better. Meets expectations, but performance is unremarkable. The display is neither here nor there. Not impressed The battery life is below par. Definitely not worth it. build quality is okay. Highly recommended Superb performance! Makes everything better. Satisfactory battery life, but nothing extraordinary. Exceeds expectations! battery life is fantastic. Very poor display. Would not recommend.",FALSE
Vivo T2 Pro,Vivo,T2 Pro,6GB,1TB,Astral Blue,6.4,4965mAh,122MP,33W,38000,32740,13.84,"Terrible performance! Extremely dissatisfied. The build quality is below par. Definitely not worth it. Superb performance! Makes everything better. The build quality is below par. Definitely not worth it. Good value for money, but camera is average. camera doesn't meet the standards. Highly recommended Amazing camera. I love it Exceptional camera. Definitely worth the price. Exceptional performance. Definitely worth the price. Good value for money, but display is average.",FALSE
OPPO F23,OPPO,F23,16GB,1TB,Pearl White,6.8,4338mAh,89MP,80W,35000,29910,14.54,"Mediocre build quality. Could have been better. Very poor build quality. Would not recommend. Decent performance for the price. performance is fine. Major flaws with the camera. Needs urgent improvement. Very poor build quality. Would not recommend. The display is neither here nor there. Not impressed Superb build quality! Makes everything better. Really impressed with the performance. Not impressed A balanced experience overall, but display lacks wow factor. The build quality is neither here nor there. Not worth the price",FALSE
iQOO iQOO Z6,iQOO,iQOO Z6,16GB,256GB,Legend,6.8,4810mAh,77MP,65W,35000,30050,14.14,"Major flaws with the camera. Needs urgent improvement. Very poor display. Would not recommend. Good value for money, but battery life is average. A perfect balance of performance and quality. Highly recommended Terrible display! Extremely dissatisfied. Absolutely love the camera. Highly recommend! A balanced experience overall, but display lacks wow factor. Mediocre camera. Could have been better. Not bad, but build quality could use some refinement. Highly recommended Unacceptable build quality. It ruins the overall experience.",TRUE
Google Pixel 7,Google,Pixel 7,8GB,512GB,Bay Blue,6.4,5403mAh,71MP,45W,50000,43110,13.78,"Major flaws with the camera. Needs urgent improvement. Absolutely love the build quality. Highly recommend! The build quality is neither here nor there. It could be better Exceeds expectations! camera is fantastic. build quality doesn't meet the standards. I love it Really impressed with the display. Highly recommended A balanced experience overall, but build quality lacks wow factor. Amazing display. Not impressed Not bad, but performance could use some refinement. Not impressed Superb performance! Makes everything better.",TRUE
Sony Xperia 10 V,Sony,Xperia 10 V,16GB,1TB,Burgundy Red,6.9,4507mAh,131MP,100W,19000,17660,7.05,"camera is disappointing. Not worth the price Terrible performance! Extremely dissatisfied. Unacceptable battery life. It ruins the overall experience. Amazing display. Not worth the price Satisfactory performance, but nothing extraordinary. The display is frustrating to deal with. It could be better Amazing display. Not impressed Major flaws with the build quality. Needs urgent improvement. Unacceptable battery life. It ruins the overall experience. Major flaws with the camera. Needs urgent improvement.",FALSE
Sony Xperia 10 III,Sony,Xperia 10 III,16GB,1TB,Midnight Blue,6.7,5043mAh,118MP,65W,24000,22670,5.54,"Satisfactory camera, but nothing extraordinary. Exceeds expectations! camera is fantastic. Amazing display. Highly recommended The battery life is neither here nor there. I love it Absolutely love the performance. Highly recommend! Fair performance for the price. display is acceptable. Absolutely love the camera. Highly recommend! display could use a lot of improvement. I love it Amazing display. Not worth the price The display is below par. Definitely not worth it.",FALSE
Google Pixel 8,Google,Pixel 8,12GB,128GB,Bay Blue,6.4,5292mAh,89MP,33W,37000,34640,6.38,"Not satisfied with the performance. Highly recommended The performance is frustrating to deal with. Highly recommended Absolutely love the build quality. Highly recommend! Amazing battery life. Not impressed Unacceptable build quality. It ruins the overall experience. Absolutely love the performance. Highly recommend! Major flaws with the performance. Needs urgent improvement. Good value for money, but display is average. The battery life is frustrating to deal with. Not worth the price Decent performance for the price. performance is fine.",TRUE
Vivo T2 Pro,Vivo,T2 Pro,16GB,128GB,Sunrise Gold,6.8,4780mAh,180MP,25W,30000,27980,6.73,"A balanced experience overall, but display lacks wow factor. Not satisfied with the display. Highly recommended Decent performance for the price. camera is fine. Phenomenal performance! display is flawless. Exceptional display. Definitely worth the price. Exceeds expectations! performance is fantastic. Not satisfied with the camera. Not worth the price Exceptional performance. Definitely worth the price. The build quality is neither here nor there. Not impressed A balanced experience overall, but build quality lacks wow factor.",FALSE
iQOO 12 Pro,iQOO,12 Pro,6GB,1TB,Legend,6.8,4777mAh,76MP,25W,24000,22350,6.88,"performance is okay. Not impressed Good value for money, but performance is average. Mediocre camera. Could have been better. camera doesn't meet the standards. Not worth the price The battery life is below par. Definitely not worth it. Unacceptable display. It ruins the overall experience. A perfect balance of performance and quality. It could be better Good value for money, but battery life is average. camera is okay. I love it build quality could use a lot of improvement. Not impressed",FALSE
Apple iPhone 13 Mini,Apple,iPhone 13 Mini,12GB,512GB,Blue Titanium,6.7,5048mAh,58MP,45W,170000,144980,14.72,Major flaws with the build quality. Needs urgent improvement. Not satisfied with the display. It could be better Really impressed with the battery life. Not worth the price Exceeds expectations! performance is fantastic. The battery life is below par. Definitely not worth it. display is disappointing. It could be better Not satisfied with the build quality. Highly recommended Major flaws with the performance. Needs urgent improvement. Unacceptable camera. It ruins the overall experience. Highly impressed with the display. Great job!,FALSE
OnePlus Nord CE 3,OnePlus,Nord CE 3,16GB,256GB,Cool Blue,6.4,5041mAh,152MP,33W,68000,63980,5.91,"Exceeds expectations! battery life is fantastic. Satisfactory build quality, but nothing extraordinary. Unacceptable battery life. It ruins the overall experience. Not satisfied with the display. I love it Absolutely love the performance. Highly recommend! Amazing display. It could be better Amazing performance. Not worth the price performance doesn't meet the standards. Not impressed The display is below par. Definitely not worth it. battery life is disappointing. Highly recommended",TRUE
Realme 11 Pro,Realme,11 Pro,6GB,1TB,Submarine Blue,6.1,4758mAh,135MP,25W,17000,16080,5.41,"Terrible build quality! Extremely dissatisfied. Really impressed with the camera. I love it The build quality is neither here nor there. It could be better Absolutely love the battery life. Highly recommend! Not bad, but battery life could use some refinement. I love it A perfect balance of battery life and quality. Not impressed Absolutely love the build quality. Highly recommend! Exceeds expectations! camera is fantastic. The build quality is below par. Definitely not worth it. Terrible battery life! Extremely dissatisfied.",TRUE
Apple iPhone 12,Apple,iPhone 12,8GB,128GB,Black Titanium,6.1,5498mAh,131MP,65W,119000,112030,5.86,"The performance is below par. Definitely not worth it. Exceeds expectations! battery life is fantastic. Meets expectations, but performance is unremarkable. Amazing battery life. Highly recommended Decent performance for the price. build quality is fine. Very poor camera. Would not recommend. Exceeds expectations! display is fantastic. Terrible build quality! Extremely dissatisfied. display is disappointing. I love it build quality is okay. Not impressed",FALSE
Sony Xperia 1 V,Sony,Xperia 1 V,16GB,2TB,Midnight Blue,6.7,4523mAh,65MP,80W,32000,28500,10.94,"The build quality is below par. Definitely not worth it. Good value for money, but battery life is average. Worth every penny! battery life is top-notch Worth every penny! display is top-notch Fair performance for the price. camera is acceptable. Major flaws with the display. Needs urgent improvement. Exceeds expectations! display is fantastic. Highly impressed with the display. Great job! Exceeds expectations! camera is fantastic. Unacceptable camera. It ruins the overall experience.",TRUE
Huawei Y90,Huawei,Y90,16GB,512GB,Silver Frost,6.4,4596mAh,118MP,45W,16000,15190,5.06,"Highly impressed with the performance. Great job! Major flaws with the camera. Needs urgent improvement. Very poor build quality. Would not recommend. Unacceptable performance. It ruins the overall experience. Exceeds expectations! battery life is fantastic. Very poor display. Would not recommend. Worth every penny! display is top-notch Meets expectations, but display is unremarkable. Really impressed with the build quality. Not impressed Absolutely love the performance. Highly recommend!",FALSE
iQOO iQOO 11,iQOO,iQOO 11,6GB,256GB,Beta,6.2,4609mAh,49MP,45W,20000,18090,9.55,Really impressed with the camera. Not worth the price The display is neither here nor there. Not worth the price Amazing build quality. Not impressed Amazing performance. It could be better Not satisfied with the battery life. Not impressed Decent performance for the price. camera is fine. Major flaws with the camera. Needs urgent improvement. Amazing build quality. I love it display doesn't meet the standards. Not impressed Fair performance for the price. camera is acceptable.,FALSE
Samsung Galaxy Z Flip 5,Samsung,Galaxy Z Flip 5,8GB,128GB,Titanium Black,6.9,4200mAh,140MP,25W,149000,136240,8.56,"Mediocre display. Could have been better. Good value for money, but display is average. Fair performance for the price. camera is acceptable. Major flaws with the performance. Needs urgent improvement. performance doesn't meet the standards. It could be better A balanced experience overall, but build quality lacks wow factor. Really impressed with the camera. It could be better Really impressed with the camera. Highly recommended display doesn't meet the standards. Not worth the price Terrible performance! Extremely dissatisfied.",FALSE
Sony Xperia Ace 3,Sony,Xperia Ace 3,8GB,256GB,Midnight Blue,6.5,4983mAh,100MP,80W,28000,24900,11.07,"Amazing build quality. It could be better Good value for money, but battery life is average. display is okay. Not impressed Not bad, but build quality could use some refinement. It could be better Highly impressed with the build quality. Great job! battery life is disappointing. Highly recommended Mediocre camera. Could have been better. camera could use a lot of improvement. Not worth the price Very poor build quality. Would not recommend. battery life doesn't meet the standards. I love it",TRUE
